gene,evidence_tier,modality,tractability_bucket,supported,drug_or_clinical_candidate_count,source,retrieval_date
CDH4,CIDP,PR,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,PR,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,PR,Literature,False,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,PR,UniProt Ubiquitination,False,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,PR,Database Ubiquitination,True,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,PR,Half-life Data,True,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,PR,Small Molecule Binder,False,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,OC,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,OC,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,OC,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
DIRAS1,CIDP,SM,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,SM,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,SM,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,SM,Structure with Ligand,True,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,SM,High-Quality Ligand,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,SM,High-Quality Pocket,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,SM,Med-Quality Pocket,True,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,SM,Druggable Family,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,AB,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,AB,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,AB,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,AB,UniProt loc high conf,True,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,AB,GO CC high conf,True,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,AB,UniProt loc med conf,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,AB,UniProt SigP or TMHMM,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,AB,GO CC med conf,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,AB,Human Protein Atlas loc,True,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,PR,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,PR,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,PR,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,PR,Literature,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,PR,UniProt Ubiquitination,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,PR,Database Ubiquitination,True,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,PR,Half-life Data,True,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,PR,Small Molecule Binder,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,OC,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,OC,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
DIRAS1,CIDP,OC,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176490,2026-08-31
GNG7,CIDP,SM,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,SM,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,SM,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,SM,Structure with Ligand,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,SM,High-Quality Ligand,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,SM,High-Quality Pocket,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,SM,Med-Quality Pocket,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,SM,Druggable Family,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,AB,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,AB,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,AB,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,AB,UniProt loc high conf,True,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,AB,GO CC high conf,True,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,AB,UniProt loc med conf,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,AB,UniProt SigP or TMHMM,False,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
