cell_group,panel,n,rho_INCAT,p_value,q_BH_15
BNB_EC,Complement,9,-0.0547722557505166,0.8886974531946982,0.9628166223153186
BNB_EC,Fc_receptor,9,0.2008316044185609,0.60437217167933,0.9628166223153186
BNB_EC,LIF_LIFR,9,0.6024948132556827,0.0859671594967111,0.6447536962253333
BNB_EC,Leukocyte_transmigration,9,0.2556038601690775,0.5068110007937626,0.9628166223153186
BNB_EC,Schwann_myelin_repair,9,0.0912870929175276,0.8153180714600264,0.9628166223153186
Macrophage,Complement,9,-0.3651483716701107,0.3338991406915333,0.9628166223153186
Macrophage,Fc_receptor,9,-0.036514837167011,0.9256951876591196,0.9628166223153186
Macrophage,LIF_LIFR,9,0.1278019300845387,0.7431617840585842,0.9628166223153186
Macrophage,Leukocyte_transmigration,9,-0.2556038601690775,0.5068110007937626,0.9628166223153186
Macrophage,Schwann_myelin_repair,9,0.0182574185835055,0.9628166223153186,0.9628166223153186
Repair_damage_SC,Complement,9,-0.511207720338155,0.1595559476434326,0.7977797382171629
Repair_damage_SC,Fc_receptor,9,-0.237346441585572,0.5386087664353268,0.9628166223153186
Repair_damage_SC,LIF_LIFR,9,0.3651483716701107,0.3338991406915333,0.9628166223153186
Repair_damage_SC,Leukocyte_transmigration,9,0.0547722557505166,0.8886974531946982,0.9628166223153186
Repair_damage_SC,Schwann_myelin_repair,9,0.8398412548412546,0.0046113676328362,0.069170514492543
